Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Inventory Tracker,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,Variant Image,Variant Weight Unit,Compare At Price / International,Status
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,S,,,,,VL650Br S,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/2_17a8721f-5df5-4b54-b57a-553b5eeb1bed.jpg?v=1671133251,2,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,M,,,,,VL650Br M,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/3_c4d5de04-7c29-4897-a9c9-ac48ec62a8b3.jpg?v=1671133251,3,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,L,,,,,VL650Br L,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/4_cfe7bad5-da40-420b-aab0-be2cd3fdfd96.jpg?v=1671133251,4,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,XL,,,,,VL650Br XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/5_086321e7-4e82-4c10-8da2-130d61ba46fe.jpg?v=1671133251,5,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,2XL,,,,,VL650Br 2XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/size.png?v=1671133251,6,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,3XL,,,,,VL650Br 3XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/Vance-Leather-_1200x1200_b770f73f-c3a0-4497-aa3e-9b0c8f5becf7.jpg?v=1671133251,7,,,,,lb,,
vl650br-vance-leathers-ladies-premium-soft-lightweight-brown-fitted-leather-jacket,,,,,,,,,4XL,,,,,VL650Br 4XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/teammtrcycl16-12-2022infographic.jpg?v=1673865764,8,VL650Br Vance Leathers' Ladies Premium Soft Lightweight Brown Fitted Leather Jacket infographic,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,VL650 Vance Leathers' Ladies Premium Soft Lightweight Black Fitted Leather Jacket,"<h3></h3>
<h1>Vance Leathers' Ladies Premium Soft Lightweight Black Fitted Leather Jacket</h1>
<h2>Features:</h2>
<p>✅ 100% Premium Lambskin LEATHER: is made of 100% Lambskin Leather to provide the best quality of leather to our community. With its elaborate design, exquisite workmanship, and high-quality Premium leather, Vance Leather provides more functional and fashionable jackets for men.</p>
<p><span data-mce-fragment=""1"">✅ </span>MODERN DESIGN: This women’s jacket is a perfectly cool and modern piece of rock, perfect for every day use, fashionable, and for commuters or riders who stick to the roads. Team them with jeans for an eye-catching look.</p>
<p>✅ AFFORDABLE QUALITY: We manufacture our jackets with the highest quality materials at an affordable price. Try our jackets without worry because you will notice the quality of workmanship and ride in style.</p>
<p>✅FUNCTIONAL &amp; COMFORTABLE: Comfort and style assured by a full,  a euro collar, front zip-up closure, and clean plain waxed leather look. It is a durable, fashioned jacket for Women and provides style. A light weight Jacket which is great all year round and perfect for all riders and bikers as well.</p>
<p> </p>
<p><img src=""//cdn.shopify.com/s/files/1/1128/6432/files/womansize_large.jpg?v=1479486146"" alt=""""></p>
<div class=""__sc-features-section"">
<div class=""row"">
<div class=""col col-sm-8 section"">
<div class=""features""></div>
</div>
</div>
<div style=""text-align: center;"">
<center></center>
<table cellpadding=""0"" cellspacing=""0"" border=""1"" style=""border-collapse: collapse; width: 350px;"">
<tbody>
<tr>
<td align=""center"" colspan=""2"" style=""background-color: #000000; width: 348px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px; color: #ffffff;"">Size Chart</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""background-color: #c0c0c0; width: 174px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Size</span></strong></td>
<td align=""center"" style=""background-color: #c0c0c0; width: 174px; height: 31px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Chest</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">XS</span></span></td>
<td align=""center"" style=""width: 174px; height: 31px;""><font face=""Verdana""><span style=""font-size: 13px;"">36</span></font></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">S</span></span></td>
<td align=""center"" style=""width: 174px; height: 31px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">38</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">M</span></span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">40</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">L</span></td>
<td align=""center"" style=""width: 174px; height: 32px;"">42</td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">44</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">2XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;""><span face=""Verdana"" style=""font-family: Verdana;""><span style=""font-size: 13px;"">47</span></span></td>
</tr>
<tr>
<td align=""center"" style=""width: 174px; height: 32px;""><span style=""font-family: Verdana; font-size: 13px;"">3XL</span></td>
<td align=""center"" style=""width: 174px; height: 32px;"">50</td>
</tr>
</tbody>
</table>
</div>
</div>",Vance Leather,,Jackets,"New Arrivals, women's jackets, women's leather jackets",TRUE,Size,XS,,,,,VL650B XS,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/5_593602dc-24d4-4981-94c1-58f3755982d0.jpg?v=1669234141,1,,FALSE,,,lb,,active
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,S,,,,,VL650B S,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_06ce57eb-53c2-43c4-914f-781f6ff24c05.png?v=1669234141,2,,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,M,,,,,VL650BM,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/4_002b04ae-c8c6-4ae6-bf9f-5db800215c08.jpg?v=1669234141,3,,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,L,,,,,VL650B L,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_1c021562-68d1-4d52-a6f6-a43e401d5a7f.jpg?v=1669234141,4,,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,XL,,,,,VL650B XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_1.jpg?v=1669234141,5,,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,2XL,,,,,VL650B 2XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/teammtrcycl15-12-2022infographic.jpg?v=1673865714,6,VL650 Vance Leathers' Ladies Premium Soft Lightweight Black Fitted Leather Jacket infographic,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,3XL,,,,,VL650B 3XL,shopify,,,,,,,lb,,
vl650-vance-leathers-ladies-premium-soft-lightweight-black-fitted-leather-jacket,,,,,,,,,4XL,,,,,VL650B 4XL,shopify,,,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,VB910G Vance Leathers Men's Grey Denim & Leather Motorcycle Vest with CCW Pockets,"<h3>
<strong data-mce-fragment=""1"">Features:</strong><br>
</h3>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">True to size</li>
<li data-mce-fragment=""1"">Club-style collarless vest, covered snaps, and hidden zipper</li>
<li data-mce-fragment=""1"">Two buttoned chest pockets</li>
<li data-mce-fragment=""1"">Two buttoned slash pockets</li>
<li data-mce-fragment=""1"">Interior concealed carry pocket on the right side</li>
<li data-mce-fragment=""1"">Fully lined on the inside</li>
<li data-mce-fragment=""1"">YKK zippers</li>
</ul>
<p> </p>
<table cellpadding=""0"" cellspacing=""0"" border=""1"" style=""border-collapse: collapse; width: 376px;"">
<tbody>
<tr>
<td align=""center"" colspan=""3"" style=""background-color: #000000; width: 374px; height: 24px;""><strong> <span style=""font-family: Verdana; font-size: 13px; color: #ffffff;"">Size Chart</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""background-color: #c0c0c0; width: 124px; height: 24px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Size</span></strong></td>
<td align=""center"" style=""background-color: #c0c0c0; width: 125px; height: 24px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Chest (in)</span></strong></td>
<td align=""center"" style=""background-color: #c0c0c0; width: 125px; height: 24px;""><strong> <span style=""font-family: Verdana; font-size: 13px;"">Length (in)</span></strong></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 24px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> M</span></strong></td>
<td align=""center"" style=""width: 125px; height: 24px;""><span style=""font-family: Verdana; font-size: 13px;"">44</span></td>
<td align=""center"" style=""width: 125px; height: 24px;""><span style=""font-family: Verdana; font-size: 13px;"">26</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> L</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">46</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;""> 26.5</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> XL</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">48</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">27</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> 2XL</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">50</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;""> 27.5</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> 3XL</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">52</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">28</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> 4XL</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">52-54</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;""> 28.5</span></td>
</tr>
<tr>
<td align=""center"" style=""width: 124px; height: 25px;""><strong><span style=""font-family: Verdana; font-size: 13px;""> 5XL</span></strong></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">54-56</span></td>
<td align=""center"" style=""width: 125px; height: 25px;""><span style=""font-family: Verdana; font-size: 13px;"">29</span></td>
</tr>
</tbody>
</table>",Vance Leather,,Vests,"men's denim vests, Men's Vest, New Arrivals",TRUE,Size,S,,,,,VB910G S,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/1_40b4ded8-aed5-4466-91bd-407c2953d98c.jpg?v=1673866252,1,,FALSE,,,lb,,active
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,M,,,,,VB910G M,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/2_819b7984-2a46-4622-ac64-8c68d2a7bfb8.jpg?v=1673866252,2,,,,https://cdn.shopify.com/s/files/1/1128/6432/products/1_40b4ded8-aed5-4466-91bd-407c2953d98c.jpg?v=1673866252,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,L,,,,,VB910G L,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/3_e24dfa08-a3a9-4a22-9ce1-06dee613e7bd.jpg?v=1673866252,3,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,XL,,,,,VB910G XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/4_e45bdc4f-76fd-4e01-86f3-808c69201524.jpg?v=1673866252,4,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,2XL,,,,,VB910G 2XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/5_96ee1e3c-f1bd-4e0f-9a22-7477d93ab6fa.jpg?v=1673866252,5,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,3XL,,,,,VB910G 3XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/6_373326ff-25f1-4097-a81f-74d6b4702c03.jpg?v=1673866252,6,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,4XL,,,,,VB910G 4XL,shopify,https://cdn.shopify.com/s/files/1/1128/6432/products/teammtrcycl26-12-2022infographic.jpg?v=1673866273,7,VL1049 infographic,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,5XL,,,,,VB910G 5XL,shopify,,,,,,,lb,,
vb910g-mens-grey-denim-leather-vest-with-ccw-pockets,,,,,,,,,6XL,,,,,VB910G 6XL,shopify,,,,,,,lb,,
